ISO,Queue ID,Project Name,State,County,Capacity (MW),Queue Date,Withdrawn Date,Generation Type,search_text,withdraw_year,Score,in_dc_state,matched_owner,is_dc_adjacent,ai_era_large,matched_dc,match_type,dc_epoch_year,years_before_dc
NYISO,1460,NY Wind - Pilgrim Uprate,NY,Suffolk County,1400.0,2022-11-08 00:00:00+00:00,2024-05-31 00:00:00+00:00,Wind,Bay State Wind NY Wind - Pilgrim Uprate,2024.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
NYISO,1503,NY Wind - Pilgrim CSR,NY,Suffolk County,1400.0,2023-01-15 00:00:00+00:00,2024-05-31 00:00:00+00:00,,Bay State Wind NY Wind - Pilgrim CSR,2024.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
NYISO,1504,NY Wind - Mott Haven CSR,NY,The Bronx,1400.0,2023-01-15 00:00:00+00:00,2024-05-31 00:00:00+00:00,,Bay State Wind NY Wind - Mott Haven CSR,2024.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
NYISO,C24-002,ATLANTIC SHORES OFFSHORE WIND PROJECT 4,NY,Kings,1400.0,2024-08-01 00:00:00+00:00,2025-02-28 00:00:00+00:00,Wind,Atlantic Shores Offshore Wind Bight LLC ATLANTIC SHORES OFFSHORE WIND PROJECT 4,2025.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
NYISO,C24-006,ATLANTIC SHORES OFFSHORE WIND PROJECT 5,NY,Suffolk,1400.0,2024-08-01 00:00:00+00:00,2025-03-31 00:00:00+00:00,Wind,ATLANTIC SHORES OFFSHORE WIND BIGHT LLC ATLANTIC SHORES OFFSHORE WIND PROJECT 5,2025.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
NYISO,C24-011,ATLANTIC SHORES OFFSHORE WIND PROJECT 3,NY,kings county,1400.0,2024-08-01 00:00:00+00:00,2025-02-28 00:00:00+00:00,Wind,ATLANTIC SHORES OFFSHORE WIND LLC ATLANTIC SHORES OFFSHORE WIND PROJECT 3,2025.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
NYISO,1613,Bluepoint Wind 4,NY,Nassau,1381.8,2023-09-26 00:00:00+00:00,2024-05-31 00:00:00+00:00,Wind,Bluepoint Wind LLC Bluepoint Wind 4,2024.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
NYISO,1643,Community OSW Brooklyn CEH 3,NY,Brooklyn,1364.5,2023-11-28 00:00:00+00:00,2024-05-31 00:00:00+00:00,Wind,"Community Offshore Wind, LLC Community OSW Brooklyn CEH 3",2024.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
ISONE,1597,New Scotland BESS (NYISO-C24-045),NY,Albany,1350.0,2024-12-12 00:00:00+00:00,2025-06-26 00:00:00+00:00,BAT,New Scotland BESS (NYISO-C24-045) ,2025.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
NYISO,1419,Vineyard Mid-Atlantic 1,NY,Kings,1350.0,2022-08-24 00:00:00+00:00,2024-05-31 00:00:00+00:00,Wind,Vineyard Mid-Atlantic Vineyard Mid-Atlantic 1,2024.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
NYISO,1428,Vineyard Northeast 1,NY,Kings County,1350.0,2022-09-01 00:00:00+00:00,2024-05-31 00:00:00+00:00,Wind,Vineyard Northeast Vineyard Northeast 1,2024.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
NYISO,1535,New Scotland BES 1 and 2,NY,Albany,1350.0,2023-03-10 00:00:00+00:00,2024-05-31 00:00:00+00:00,Energy Storage,Eden Renewables New Scotland BES 1 and 2,2024.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
NYISO,1631,New Scotland BESS,NY,Albany,1350.0,2023-11-03 00:00:00+00:00,2024-01-31 00:00:00+00:00,Energy Storage,Eden Renewables New Scotland BESS,2024.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
NYISO,1676,New Scotland BESS,NY,Albany,1350.0,2024-02-16 00:00:00+00:00,2024-05-31 00:00:00+00:00,Energy Storage,Eden DevCo New Scotland BESS,2024.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
NYISO,C24-045,New Scotland BESS,NY,Albany,1350.0,2024-08-01 00:00:00+00:00,2025-03-31 00:00:00+00:00,Energy Storage,New Scotland BESS New Scotland BESS,2025.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
NYISO,1455,Vineyard Northeast 2,NY,Kings,1345.0,2022-10-31 00:00:00+00:00,2024-05-31 00:00:00+00:00,Wind,Vineyard Northeast LLC Vineyard Northeast 2,2024.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
NYISO,1443,Vineyard Mid-Atlantic 2,NY,Nassau,1330.0,2022-09-28 00:00:00+00:00,2024-07-31 00:00:00+00:00,Wind,Vineyard Mid-Atlantic Vineyard Mid-Atlantic 2,2024.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
NYISO,1476,Vineyard Mid-Atlantic 3,NY,Nassau,1330.0,2022-11-30 00:00:00+00:00,2024-05-31 00:00:00+00:00,Wind,Vineyard Mid-Atlantic LLC Vineyard Mid-Atlantic 3,2024.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
NYISO,1057,NY Wind - New Bridge Road,NY,Nassau,1325.0,2020-07-27 00:00:00+00:00,2020-10-31 00:00:00+00:00,Wind,Bay State Wind NY Wind - New Bridge Road,2020.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
NYISO,1131,Excelsior Connect - Edic to Rainey,NY,Oneida-Queens,1310.0,2021-01-28 00:00:00+00:00,2022-05-31 00:00:00+00:00,DC Transmission,"Avangrid Networks, Inc. Excelsior Connect - Edic to Rainey",2022.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
NYISO,1132,Excelsior Connect - Edic to Farragut,NY,Oneida-Brooklyn,1310.0,2021-01-28 00:00:00+00:00,2022-03-31 00:00:00+00:00,DC Transmission,"Avangrid Networks, Inc. Excelsior Connect - Edic to Farragut",2022.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
NYISO,1385,Attentive Energy 1,NY,Suffolk,1310.0,2022-06-01 00:00:00+00:00,2024-05-31 00:00:00+00:00,Wind,Attentive Energy Attentive Energy 1,2024.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
NYISO,1386,Attentive Energy 2,NY,Brooklyn,1310.0,2022-06-01 00:00:00+00:00,2024-05-31 00:00:00+00:00,Wind,Attentive Energy Attentive Energy 2,2024.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
NYISO,1493,Queensboro Renewable Express Circuit A,NY,Queens,1310.0,2022-12-21 00:00:00+00:00,2024-08-01 00:00:00+00:00,Wind,"Queensboro Development, LLC Queensboro Renewable Express Circuit A",2024.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
NYISO,1542,Blue Sky Interconnect 1,NY,Brooklyn,1310.0,2023-03-28 00:00:00+00:00,2023-08-31 00:00:00+00:00,Wind,"Blue Sky Interconnect, LLC. Blue Sky Interconnect 1",2023.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
NYISO,1565,North River,NY,Sullivan and Queens,1310.0,2023-06-09 00:00:00+00:00,2024-05-31 00:00:00+00:00,DC Transmission,"North River Development, LLC North River",2024.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
NYISO,1610,Bluepoint Wind 1,NY,Brooklyn County,1310.0,2023-09-26 00:00:00+00:00,2024-05-31 00:00:00+00:00,Wind,Bluepoint Wind LLC Bluepoint Wind 1,2024.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
NYISO,1611,Bluepoint Wind 2,NY,Kings County,1310.0,2023-09-26 00:00:00+00:00,2024-05-31 00:00:00+00:00,Wind,Bluepoint Wind LLC Bluepoint Wind 2,2024.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
NYISO,1612,Bluepoint Wind 3B,NY,Richmond,1310.0,2023-09-26 00:00:00+00:00,2024-02-29 00:00:00+00:00,Wind,Bluepoint Wind LLC Bluepoint Wind 3B,2024.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
NYISO,1614,Blue Point Wind 3A,NY,Richmond,1310.0,2023-09-26 00:00:00+00:00,2024-05-31 00:00:00+00:00,Wind,Bluepoint Wind LLC Blue Point Wind 3A,2024.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
NYISO,1642,Queensboro B,NY,Queens,1310.0,2023-11-28 00:00:00+00:00,2024-05-31 00:00:00+00:00,Wind,Light & Power Development Queensboro B,2024.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
NYISO,1653,Community OSW Barrett 3,NY,Nassau,1310.0,2023-12-21 00:00:00+00:00,2024-05-31 00:00:00+00:00,Wind,"Community Offshore Wind, LLC Community OSW Barrett 3",2024.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
NYISO,C24-017,COSW Barrett,NY,Suffolk,1310.0,2024-08-01 00:00:00+00:00,2024-11-30 00:00:00+00:00,Wind,"Community Offshore Wind, LLC COSW Barrett",2024.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
NYISO,C24-022,COSW BCEH,NY,Kings,1310.0,2024-08-01 00:00:00+00:00,2025-01-31 00:00:00+00:00,Wind,"Community Offshore Wind, LLC COSW BCEH",2025.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
NYISO,C24-030,Bluepoint Wind 2,NY,Nassau,1310.0,2024-08-01 00:00:00+00:00,2025-03-31 00:00:00+00:00,Wind,Bluepoint Wind LLC Bluepoint Wind 2,2025.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
NYISO,C24-036,Queensboro Renewable Express Circuit A,NY,Queens,1310.0,2024-08-01 00:00:00+00:00,2024-11-30 00:00:00+00:00,Wind,"Queensboro Development, LLC Queensboro Renewable Express Circuit A",2024.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
NYISO,C24-174,Long Island Wind,NY,Suffolk,1310.0,2024-09-17 00:00:00+00:00,2025-03-31 00:00:00+00:00,Wind,Bay State Wind Long Island Wind,2025.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
MISO,J4109,,LA,Iberville,1300.0,2025-10-07 04:00:00+00:00,2025-12-19 05:00:00+00:00,Gas,,2025.0,2,True,,False,True,Meta Hyperion (state only),state only,,
NYISO,1016,EI Steinway 1,NY,Queens,1300.0,2020-05-19 00:00:00+00:00,2024-09-30 00:00:00+00:00,Wind,Beacon Wind LLC EI Steinway 1,2024.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
